disease,symptoms,preventive_measures
Diabetic retinopathy,"Increased thirst, frequent urination, fatigue, blurred vision, slow wound healing, numbness/tingling in extremities","Healthy diet, regular physical activity, weight management, regular blood glucose screening, avoid tobacco, adhere to medications"
Diabetic nephropathy,"Increased thirst, frequent urination, fatigue, blurred vision, slow wound healing, numbness/tingling in extremities","Healthy diet, regular physical activity, weight management, regular blood glucose screening, avoid tobacco, adhere to medications"
Obesity,"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Hyperlipidemia (high cholesterol),"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Metabolic syndrome,"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Chronic kidney disease (CKD),"Fatigue, swelling of legs/face, decreased urine output, blood in urine, foamy urine","Control blood pressure and diabetes, hydration, avoid nephrotoxic drugs, regular screening if risk factors present, healthy diet"
End-stage renal disease (ESRD),"Fatigue, swelling of legs/face, decreased urine output, blood in urine, foamy urine","Control blood pressure and diabetes, hydration, avoid nephrotoxic drugs, regular screening if risk factors present, healthy diet"
Chronic liver disease,"Fatigue, jaundice, abdominal pain, swelling, dark urine, nausea","Vaccination (hepatitis B), avoid excess alcohol, safe injection/sex practices, healthy weight, screening for hepatitis C where indicated"
Cirrhosis,"Fatigue, jaundice, abdominal pain, swelling, dark urine, nausea","Vaccination (hepatitis B), avoid excess alcohol, safe injection/sex practices, healthy weight, screening for hepatitis C where indicated"
Non-alcoholic fatty liver disease (NAFLD),"Fatigue, jaundice, abdominal pain, swelling, dark urine, nausea","Vaccination (hepatitis B), avoid excess alcohol, safe injection/sex practices, healthy weight, screening for hepatitis C where indicated"
Alcoholic liver disease,"Fatigue, jaundice, abdominal pain, swelling, dark urine, nausea","Vaccination (hepatitis B), avoid excess alcohol, safe injection/sex practices, healthy weight, screening for hepatitis C where indicated"
Hepatitis B (chronic),"Fatigue, jaundice, abdominal pain, swelling, dark urine, nausea","Vaccination (hepatitis B), avoid excess alcohol, safe injection/sex practices, healthy weight, screening for hepatitis C where indicated"
Hepatitis C (chronic),"Fatigue, jaundice, abdominal pain, swelling, dark urine, nausea","Vaccination (hepatitis B), avoid excess alcohol, safe injection/sex practices, healthy weight, screening for hepatitis C where indicated"
Chronic pancreatitis,"Fatigue, jaundice, abdominal pain, swelling, dark urine, nausea","Vaccination (hepatitis B), avoid excess alcohol, safe injection/sex practices, healthy weight, screening for hepatitis C where indicated"
Peptic ulcer disease (chronic),"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Gastroesophageal reflux disease (GERD),"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Inflammatory bowel disease - Crohn's disease,"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Inflammatory bowel disease - Ulcerative colitis,"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Irritable bowel syndrome (IBS),"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Celiac disease,"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Diverticular disease (chronic),"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Colon polyps (recurrent),"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Colorectal cancer (chronic progression),"Unexplained weight loss, persistent pain, lumps/masses, bleeding, fatigue, changes in skin or bowel habits (varies widely)","Avoid tobacco, healthy diet, limit alcohol, vaccination for HPV/hepatitis B when indicated, screening (mammogram, colonoscopy), sun protection"
Asthma (chronic),"Shortness of breath, wheeze, cough, chest tightness, increased sputum (varies by disease)","Avoid smoking and air pollutants, vaccinations (influenza, pneumococcal), inhaler adherence, pulmonary rehab, occupational exposure control"
Chronic obstructive pulmonary disease (COPD),"Shortness of breath, wheeze, cough, chest tightness, increased sputum (varies by disease)","Avoid smoking and air pollutants, vaccinations (influenza, pneumococcal), inhaler adherence, pulmonary rehab, occupational exposure control"
Pulmonary fibrosis,"Shortness of breath, wheeze, cough, chest tightness, increased sputum (varies by disease)","Avoid smoking and air pollutants, vaccinations (influenza, pneumococcal), inhaler adherence, pulmonary rehab, occupational exposure control"
Bronchiectasis,"Shortness of breath, wheeze, cough, chest tightness, increased sputum (varies by disease)","Avoid smoking and air pollutants, vaccinations (influenza, pneumococcal), inhaler adherence, pulmonary rehab, occupational exposure control"
Sleep apnea (obstructive),"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Pulmonary hypertension,"Chest pain or discomfort, shortness of breath, fatigue, dizziness, palpitations, leg swelling (varies by condition)","Control blood pressure, quit smoking, healthy diet (low salt, saturated fat), regular exercise, maintain healthy weight, lipid control, regular medical review"
Chronic bronchitis,"Shortness of breath, wheeze, cough, chest tightness, increased sputum (varies by disease)","Avoid smoking and air pollutants, vaccinations (influenza, pneumococcal), inhaler adherence, pulmonary rehab, occupational exposure control"
Emphysema,"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Interstitial lung disease,"Shortness of breath, wheeze, cough, chest tightness, increased sputum (varies by disease)","Avoid smoking and air pollutants, vaccinations (influenza, pneumococcal), inhaler adherence, pulmonary rehab, occupational exposure control"
"Tuberculosis (pulmonary, chronic)","Shortness of breath, wheeze, cough, chest tightness, increased sputum (varies by disease)","Avoid smoking and air pollutants, vaccinations (influenza, pneumococcal), inhaler adherence, pulmonary rehab, occupational exposure control"
Pneumonia (recurrent),"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
Chronic sinusitis,"Symptoms vary — common signs include fever, fatigue, pain, localized swelling, gastrointestinal upset, cough, rash (condition-specific)","Hand hygiene, vaccinations where available, safe food/water practices, avoid exposure risks, seek early medical care, follow public health guidance"
